#{"t_start": 1610368009.3488455, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-777.280826,84,95.550087
-870.064769,81,95.903773
-746.211631,81,96.269621
-789.732871,86,96.618134
-570.795265,56,96.666129
-488.703545,62,97.00466
-505.583898,74,97.345819
-547.409617,55,97.393104
-744.758462,84,97.761384
-494.710707,75,98.118348
-528.565008,57,98.16908
-657.363814,75,98.524306
-532.906515,71,98.874667
-964.163969,125,99.260872
-890.318169,82,99.607121
-486.052062,70,99.949296
-615.151561,63,100.005852
-860.118441,79,100.3229
-561.227822,57,100.679743
-526.463878,67,100.738364
-755.990982,83,101.083149
-1087.783603,163,101.789563
-637.526285,64,101.847116
-769.416084,81,102.187088
-596.074679,65,102.563446
-884.220698,87,103.142448
-870.708854,82,103.729503
-774.385345,83,103.838507
-716.14794,75,104.261267
-568.32808,57,104.611784
-506.187762,77,104.68682
-593.680987,62,105.033785
-952.12702,96,105.408745
-620.429098,63,105.717005
-652.580436,77,105.786005
-661.128495,77,106.108583
-888.847182,92,106.446645
-662.398842,71,106.761495
-647.317074,85,107.098597
-748.940806,80,107.417176
-707.261368,72,107.477389
-633.524382,76,107.7957
-932.626212,90,108.123068
-787.730233,82,108.478619
-812.323034,86,108.80555
-473.679286,78,108.877958
-511.495674,53,109.210182
-878.842717,80,109.532899
-692.255681,82,109.867326
-904.162162,91,109.946303
-935.040233,93,110.285697
-712.854323,81,110.650681
-608.918539,59,111.01714
-445.660081,73,111.098521
-589.758941,59,111.497049
-475.769401,74,111.881143
-587.664377,63,111.936181
-658.179555,70,112.349391
-833.222353,89,112.787192
-521.478632,51,113.195194
-639.158786,79,113.275198
-538.799916,69,113.651213
-707.814917,78,114.054719
-720.978248,80,114.420303
-556.210304,56,114.47134
-562.84444,66,114.790795
-440.545445,77,115.128705
-621.988164,57,115.191172
-732.987364,79,115.506037
-791.480438,76,115.859715
-616.925839,67,115.918053
-739.668751,73,116.272533
-614.206389,55,116.576347
-499.914357,62,116.628338
-602.899857,73,116.945554
-607.978051,56,117.261492
-817.423454,84,117.332589
-469.702942,74,117.663748
-1025.951573,88,117.990561
-805.254478,85,118.320192
-564.818476,58,118.371193
-836.598205,84,118.711319
-600.233757,65,119.03812
-539.127657,55,119.086208
-736.623237,77,119.397208
-796.056195,84,119.736096
-579.910901,62,120.049813
-728.973989,77,120.116076
-980.424524,86,120.445759
-741.0156,81,120.785212
-772.81247,84,121.107262
-540.206328,58,121.41269
-457.077663,75,121.4781
-613.407329,62,121.788982
-713.295774,79,122.117943
-483.790738,69,122.179749
-641.944527,62,122.520377
-564.036484,60,122.910897
-623.723521,65,122.984241
-603.08039,56,123.427772
-503.948319,49,123.480449
-539.7677,53,123.848779
